ID,DEVICETYPE,PLATFORM_ID,BIDREQUESTIP,USERPLATFORMUID,USERCITY,USERZIPCODE,USERAGENT,PLATFORMTYPE,CHANNELTYPE,URL,KEYWORDS,TAXONOMY,IS_HCP
1001,Desktop,2,170.173.0.22,6974dcaa-f932-480e-9fb5-c52e20e1393a,Portland,97206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36",Online Medical Journal,Website,https://www.cancertherapyadvisor.com/home/cancer-topics/prostate-cancer/,General|Endocrine|False|Medicine|Surgery|Urology|Chronic|Gastroenterology|Neurology|Physicians|Diagnosis|Psychiatry|Lung|Clinical|Dermatology|Ophthalmology|Cardiovascular|Cardiology|Oncology|Rheumatology,,0
1002,Desktop,2,65.216.253.25,c12f3f8f-8fcf-484a-90e1-1ac04db8cdcf,Arlington,22202,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Online Medical Journal,Website,https://www.cancertherapyadvisor.com/home/decision-support-in-medicine/hematology/marginal-zone-lymphoma/#,Bone Marrow|Radiography|Chronic|Oncology|Psychiatry|Intestine|Small Intestines|Physicians|Gastroenterology|Salivary Glands|Autoimmune|Hemolytic|False|Hereditary|Total|Cardiology|Surgery|Clinical|Dendritic Cells|Lung|Biopsy|General|Large|Small|Ophthalmology|Medicine|Lymphoid Tissue|Rheumatology|B-Lymphocytes|Stomach|Transplantation|Gastrointestinal Tract|Intestines|Diagnosis|Endocrine|Anemia|Refractory|Dermatology|Neurology|Urology,,0
1003,Desktop,2,66.232.79.22,a698de4b-e200-46dd-b5fb-40402175ae18,New Meadows,83654,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15",Online Medical Journal,Website,https://www.cancertherapyadvisor.com/home/cancer-topics/prostate-cancer/,General|Endocrine|False|Medicine|Surgery|Urology|Chronic|Gastroenterology|Neurology|Physicians|Diagnosis|Psychiatry|Lung|Clinical|Dermatology|Ophthalmology|Cardiovascular|Cardiology|Oncology|Rheumatology,,0
1004,Desktop,3,137.54.125.246,45967533-75c8-4fbd-a00c-e6ff20447aaa,,229114624,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.69",Online Medical Journal,Website,https://globalrph.com/medcalcs/warfarin-maintenance-dose-consult-tool/,Dental|Total|Clinical|Pharmacology|Physicians|Health|Drug Therapy|Oncology|False,2084P0800X,1
1005,Mobile,7,174.202.231.99,a17e25be-532d-4cf5-b916-9308c8c3961f,Houston,77008,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1",Online Medical Journal,Website,https://www.cureus.com/articles/58184-a-review-of-trikafta-triple-cystic-fibrosis-transmembrane-conductance-r⬦,Critical Care|Emergency Medicine|General Practice|Asthma|General|Neurological Surgery|Preventive|Trauma|Pathology|Total|Gastroenterology|Nuclear Medicine|Orthopedics|Surgery|Medicine|Specialties|Technology|Small|Dermatology|Rheumatology|Resuscitation|Controlled|Chronic|Respiratory Tract|Cardiology|Ophthalmology|Otolaryngology|Monocytes|Gastrointestinal Tract|Transplantation|Surgical|False|Psychiatry|Urology|Aged|Rehabilitation|Clinical|Molecular|Anesthesiology|Neurology|Oncology|Pediatrics|Newborn|Pancreas|Cardiac|Premature|Large|Reproductive|Physical Medicine & Rehabilitation|Neutrophils|Lung|Health|Dentistry|Oral|Genetic|Preventive Medicine,,0
1006,Desktop,7,24.59.163.238,3b644d8f-b225-4ea3-b370-160ff7858749,Syracuse,13215,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",Online Medical Journal,Website,https://www.cureus.com/articles/131022-the-impact-of-a-late-diagnosis-a-case-of-charcot-marie-tooth-type-1,small|covid|nephrology|radiology|preventive medicine|critical care|internal medicine|oncology|forensic medicine|general|specialties|conduction|hand|trauma|pain|disease|autoimmune|muscle weakness|health|pain management|acos|neurogenic|intrinsic|cardiology|preventive|the|clinical|hematology|proton therapy|dermatology|transplantation|pediatrics|urology|biopsy|diabetes|cardiac|surgery|,,0
1007,Desktop,2,67.203.36.94,456631b8-ca59-4e7a-96a0-53bcbf85eaef,Los Angeles,90060,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",Online Medical Journal,Website,https://www.gastroenterologyadvisor.com/,Transplantation|Technology|Chronic|Neoplasms|Urology|Pancreas|Mental Health|Arthritis|Refractory|Myocardial Infarction|Aged|Cardiology|Oncology|Surgical|Balloon|Anesthesia|Synthetic|Hepatic Transplantation|Diagnosis|Neurology|Ophthalmology|Surgery|Total|Atrial Fibrillation|Overweight|Autoimmune|Atherectomy|Heart Defects|Neonatal|Psychological|Stomach|Metabolic|Hospitals|Graves|Esophagus|Liver|Oral|Rheumatology|Insomnia|Acquired|General|Induced|Gastroenterology|Psychiatry|Angioplasty|Cardiovascular|Child|Arrhythmia|Dermatology|Liver Transplantation|Anxiety Disorders|Delivery|Flu|Small|Resuscitation|Asthma|Pathology|Medicine|Health|Clinical|False|Biliary Tract|Lung|Sleep Disorders|Arrhythmias|Bariatric Surgery,,0
1008,Mobile,2,24.28.40.219,1e84b963-2a2a-4e1a-a767-33867aa89bd4,Dallas,75204,"Mozilla/5.0 (iPhone; CPU iPhone OS 16_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/252.0.509949674 Mobile/15E148 Safari/604.1",Online Medical Journal,Website,https://www.clinicaladvisor.com/home/features/clinical-challenge/pain-tingling-and-limited-range-of-motion-after-a-cat-bite-to-the-finger/,Family Practice|Drainage|Clinical|Dermatology|Ophthalmology|Medicine|Allergic|General|Diagnosis|Neurology|Hepatology|Health|Cardiovascular|Surgical|Psychiatry|Oral|Urology|Cardiology|Gastroenterology|Orthopedics|Erythema|Arthritis|Asthma|Cellulitis|Pediatrics|Surgery|False|Oncology|Rheumatology,,0
1009,Mobile,2,104.172.116.202,be61a8f7-0f00-487f-8a56-679c819fa01a,Granada Hills,91344,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.5 Mobile/15E148 Safari/604.1",Online Medical Journal,Website,https://www.cancertherapyadvisor.com/home/decision-support-in-medicine/critical-care-medicine/hepatorenal-syndrome-clinician/,Intensive Care|Shock|Ischemic Heart Disease|Health|Drainage|Liver Transplantation|Transplantation|Controlled|Urology|Critical Care|Erythema|Malnutrition|Hepatology|Hypotension|General|Intrahepatic|Small|Neurology|Lung|Cardiac|Oral|Chronic|Total|Tachycardia|Liver|Angiotensin|Kidney Transplantation|Diagnosis|Endocrine|False|Nervous System|Cardiology|Critical Care Medicine|Ophthalmology|Resuscitation|Adrenal Insufficiency|Intravenous|Metabolic|Gastroenterology|Cardiac Output|Hemorrhage|Diabetes Mellitus|Clinical|Induced|Oncology|Psychiatry|Medicine|Hematuria|Myocardial Ischemia|Respiratory Tract|Intrinsic|Nephritis|Rheumatology|Perfusion|Cardiomyopathy|Refractory|Large|Dermatology,2084P0804X,1
1010,Desktop,5,170.178.236.25,ddbea19a-fa49-4d3d-965a-bee29cbe92da,Davenport,52807,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36",Online Medical Journal,Website,https://fpnotebook.com/Endo/Pharm/SgltInhbtr.htm,chronic kidney disease|nephrology|radiology|dapagliflozin|elderly|diabetes mellitus|oncology|hyperglycemia|neonatology|intravenous|acute coronary syndrome|sglt2|nsaid|geriatric medicine|induced|hypoglycemia|type 2 diabetes mellitus|resuscitation|renal impairment|trauma|hypotension|family practice|disease|shock|health|asthma|the|hematology|gfr|dermatology|hydrocortisone|pediatrics|urology|angiotensin|glucagon|sports medicine|thyroiditis|headache|diabetes|sepsis|surgery|child|,,0
